name_project,name_truncated,sector_en,all_sectors,n_types,budget_project,area_sqm,region,city,is_multi_region,area_parse_status,has_budget,start_date,end_date,duration_days,start_year,start_date_precision,end_date_precision,status_en,is_at_risk,sectors,status_project,region_project
برج غرفة الشرقية الاستثماري – Asharqia Chamber Investment Tower,False,Commercial,['Commercial'],1,335000000.0,7752.0,Eastern Region,الدمام,False,ok,True,2019-07-03,2021-12-31,912.0,2019.0,exact,year-level,Under construction,False,تجاري,تحت الإنشاء,"المنطقة الشرقية, الدمام"
مقر برايس ووتر هاوس كوبرز – PWC Headquarter,False,Commercial,"['Commercial', 'Residential']",2,,8000.0,Al-Riyadh,الرياض,False,ok,False,2010-01-01,,,2010.0,year-level,,Under construction,False,تجاري,تحت الإنشاء,"منطقة الرياض, الرياض"
مقر المدفوعات السعودية – Saudi Payment Headquarter,False,Commercial,"['Commercial', 'Residential']",2,1178000000.0,19500.0,Al-Riyadh,الرياض,False,ok,True,2009-01-01,2014-12-31,2190.0,2009.0,year-level,year-level,Completed,False,تجاري,مكتمل,"منطقة الرياض, الرياض"
الاحساء ستريب مول – Ahsa Strip Mall,False,Commercial,['Commercial'],1,,19888.0,Eastern Region,الأحساء,False,ok,False,,,,,,,Announced,False,تجاري,معلن عنه,"المنطقة الشرقية, الأحساء"
برج الدايل – Al-Dailh Tower,False,Commercial,"['Commercial', 'Hospitality']",2,120000000.0,3651.0,Makkah Al-Mokarramah,جدة,False,ok,True,2019-06-01,2022-03-31,1034.0,2019.0,month-level,month-level,Under construction,False,تجاري,تحت الإنشاء,"منطقة مكة المكرمة, جدة"
برج سماسكو – SMASCO Tower,False,Commercial,"['Commercial', 'Residential']",2,,4100.0,Al-Riyadh,الرياض,False,ok,False,,,,,,,Proposed,False,تجاري,المشاريع المقترحة,"منطقة الرياض, الرياض"
بغلف افينيو – Baghlaf Avenue,False,Commercial,"['Commercial', 'Residential']",2,,,Makkah Al-Mokarramah,جدة,False,empty,False,,,,,,,Proposed,False,تجاري,المشاريع المقترحة,"منطقة مكة المكرمة, جدة"
قرية العبيكان و ماسك – Obeikan & Masic Village,False,Commercial,"['Commercial', 'Hospitality', 'Industrial']",3,,163000.0,Al-Riyadh,الرياض,False,ok,False,,,,,,,Proposed,False,تجاري,المشاريع المقترحة,"منطقة الرياض, الرياض"
واحة الطائف – Taif Oasis,False,Commercial,"['Commercial', 'Hospitality']",2,50000000.0,7940.0,Makkah Al-Mokarramah,الطائف,False,ok,True,,,,,,,Proposed,False,تجاري,المشاريع المقترحة,"منطقة مكة المكرمة, الطائف"
دبل تري جدة – DoubleTree Jeddah,False,Commercial,"['Commercial', 'Hospitality']",2,,8759.0,Makkah Al-Mokarramah,جدة,False,ok,False,,,,,,,Announced,False,تجاري,معلن عنه,"منطقة مكة المكرمة, جدة"
بوكس بارك – Box Park,False,Commercial,['Commercial'],1,,7000.0,Makkah Al-Mokarramah,جدة,False,ok,False,,,,,,,Proposed,False,تجاري,المشاريع المقترحة,"منطقة مكة المكرمة, جدة"
النخيل بلازا – Nakheel Plaza,False,Commercial,"['Commercial', 'Hospitality']",2,,15252.0,Makkah Al-Mokarramah,الطائف,False,ok,False,2017-03-01,,,2017.0,month-level,,Under construction,False,تجاري,تحت الإنشاء,"منطقة مكة المكرمة, الطائف"
مركز الأبحاث – Think Tank,False,Commercial,"['Commercial', 'Hospitality', 'Leisure/Tourism', 'Scientific']",4,,,Makkah Al-Mokarramah,مدينة الملك عبدالله الاقتصادية,False,empty,False,,,,,,,Proposed,False,تجاري,المشاريع المقترحة,"منطقة مكة المكرمة, مدينة الملك عبدالله الاقتصادية"
كيوبيك – QBIC,False,Commercial,['Commercial'],1,,17344.0,Al-Riyadh,الرياض,False,ok,False,2016-07-01,,,2016.0,month-level,,Under construction,False,تجاري,تحت الإنشاء,"منطقة الرياض, الرياض"
خطوات أبها – Abha Steps,False,Commercial,"['Commercial', 'Hospitality']",2,,,Aseer,أبها,False,empty,False,,,,,,,Proposed,False,تجاري,المشاريع المقترحة,"منطقة عسير, أبها"
أرض أبها – Abha Land,False,Commercial,['Commercial'],1,,,Aseer,أبها,False,empty,False,,,,,,,Proposed,False,تجاري,المشاريع المقترحة,"منطقة عسير, أبها"
مجمع مكتبي – Office Complex,False,Commercial,['Commercial'],1,,,Makkah Al-Mokarramah,جدة,False,empty,False,,,,,,,Proposed,False,تجاري,المشاريع المقترحة,"منطقة مكة المكرمة, جدة"
مجمع سكني – Housing Complex,False,Commercial,"['Commercial', 'Residential']",2,,9600.0,Makkah Al-Mokarramah,جدة,False,ok,False,,,,,,,Announced,False,تجاري,معلن عنه,"منطقة مكة المكرمة, جدة"
كينج ووك – King Walk,False,Commercial,"['Commercial', 'Hospitality']",2,,,Makkah Al-Mokarramah,جدة,False,empty,False,,,,,,,Announced,False,تجاري,معلن عنه,"منطقة مكة المكرمة, جدة"
مطعم باب التراث – Bab Al-Turath Resturant,False,Commercial,['Commercial'],1,,,Aseer,أبها,False,empty,False,,,,,,,Announced,False,تجاري,معلن عنه,"منطقة عسير, أبها"
شرفة – Shurfa,False,Commercial,['Commercial'],1,,5400.0,Aseer,أبها,False,ok,False,2018-07-01,2019-09-30,456.0,2018.0,month-level,month-level,Under construction,False,تجاري,تحت الإنشاء,"منطقة عسير, أبها"
شموخ بلازا – Shumok Plaza,False,Commercial,['Commercial'],1,,4744.0,Eastern Region,الدمام,False,ok,False,2017-03-25,,,2017.0,exact,,Under construction,False,تجاري,تحت الإنشاء,"المنطقة الشرقية, الدمام"
مول صاري – Sari Mall,False,Commercial,['Commercial'],1,,,Makkah Al-Mokarramah,جدة,False,empty,False,,,,,,,Proposed,False,تجاري,المشاريع المقترحة,"منطقة مكة المكرمة, جدة"
