name_project,region,budget_project,city,is_multi_region,sectors_touched,all_sectors,n_sectors,status_en,area_sqm,start_year,start_date,end_date,duration_days,has_budget,is_at_risk
Khouzama Hills – الخزامى هيلز,Al-Riyadh,,الرياض,False,['Residential'],['Residential'],1,Under construction,6000.0,,,,,False,False
Riyadh Metro Museum – متحف مترو الرياض,Al-Riyadh,,الرياض,False,['Government'],['Government'],1,Under construction,,,,,,False,False
The Valley – ذا ڤالي,Eastern Region,31500000.0,الأحساء,False,['Commercial'],['Commercial'],1,Completed,10000.0,2016.0,2016-06-01,2017-04-01,304.0,True,False
آجا بلازا,Hail,,حائل,False,['Commercial'],['Commercial'],1,Completed,22000.0,,,,,False,False
أب تاون الرياض,Al-Riyadh,,الرياض,False,['Residential'],"['Commercial', 'Residential']",1,Proposed,8600000.0,,,,,False,False
أبتاون مكة – Uptown Makkah,Makkah Al-Mokarramah,,مكة المكرمة,False,"['Commercial', 'Residential']","['Commercial', 'Residential']",2,Announced,,,,,,False,False
أبحر بلازا – Obhur Plaza,Makkah Al-Mokarramah,,جدة,False,['Commercial'],['Commercial'],1,Delayed,25996.0,,,2018-04-30,,False,True
أبراج ابحر الجنوبية – Southern Obhur Towers,Makkah Al-Mokarramah,,جدة,False,['Residential'],"['Hospitality', 'Residential']",1,Proposed,5500.0,,,,,False,False
أبراج الإجابة – Ejaba Towers,Makkah Al-Mokarramah,,مكة المكرمة,False,['Commercial'],"['Commercial', 'Hospitality']",1,Announced,18179.0,,,,,False,False
أبراج البيت 58 – Al-Bayt 58 Tower,Al-Riyadh,,الرياض,False,"['Commercial', 'Residential']","['Commercial', 'Residential']",2,Under construction,23812.0,2017.0,2017-11-01,,,False,False
أبراج التوأم – Twin towers,Eastern Region,,الخبر,False,"['Commercial', 'Residential']","['Commercial', 'Residential']",2,Under construction,3100.0,2016.0,2016-12-01,,,False,False
أبراج الحناكي السكنية,Makkah Al-Mokarramah,,جدة,False,"['Commercial', 'Residential']","['Commercial', 'Residential']",2,Announced,44000.0,,,,,False,False
أبراج الخبر السكنية – Khobar Residential Towers,Eastern Region,340000000.0,الخبر,False,['Residential'],"['Hospitality', 'Residential']",1,Announced,18150.0,,,,,True,False
أبراج الربيع – SPRING TOWER,Al-Riyadh,,الرياض,False,['Commercial'],"['Commercial', 'Hospitality']",1,Under construction,,,,,,False,False
أبراج الشاطئ – Beach Towers,Makkah Al-Mokarramah,1400000000.0,مدينة الملك عبدالله الاقتصادية,False,['Residential'],['Residential'],1,Completed,59237.0,2008.0,2008-04-28,2012-07-02,520.0,True,False
أبراج الفارسي – Farsi Tower,Makkah Al-Mokarramah,350000000.0,جدة,False,['Residential'],['Residential'],1,Completed,16000.0,2003.0,2003-10-04,2009-02-11,1957.0,True,False
أبراج الكورنيش – Corniche Towers,Makkah Al-Mokarramah,,جدة,False,"['Commercial', 'Residential']","['Commercial', 'Residential']",2,Proposed,,,,,,False,False
أبراج المارينا – Marina Towers,Makkah Al-Mokarramah,494000000.0,مدينة الملك عبدالله الاقتصادية,False,['Residential'],['Residential'],1,Completed,43957.0,2007.0,2007-05-14,,,True,False
أبراج المدى – Mada Towers,Makkah Al-Mokarramah,2000000000.0,جدة,False,['Residential'],"['Hospitality', 'Residential']",1,Cancelled,33000.0,,,,,True,True
أبراج الهلال 1 – Abraj Al Hilal 1,Makkah Al-Mokarramah,,جدة,False,['Residential'],['Residential'],1,Completed,,2006.0,2006-06-01,2012-11-30,2374.0,False,False
أبراج الهلال 2 – Abraj Al Hilal 2,Makkah Al-Mokarramah,,جدة,False,['Residential'],['Residential'],1,Completed,,2013.0,2013-07-01,2017-11-30,1613.0,False,False
أبراج اورسيات السكنية – ORSYAT Residential Towers,Eastern Region,,الخبر,False,['Residential'],"['Commercial', 'Residential']",1,Delayed,2000.0,2015.0,2015-02-01,2018-02-01,1096.0,False,True
أبراج بكة – BAKKAH TOWER,Makkah Al-Mokarramah,,مكة المكرمة,False,['Commercial'],"['Commercial', 'Hospitality']",1,Announced,6550.0,,,,,False,False
أبراج بوابة التحلية,Makkah Al-Mokarramah,,جدة,False,"['Commercial', 'Residential', 'Sports']","['Commercial', 'Residential', 'Sports']",3,Proposed,83000.0,,,,,False,False
أبراج بيات بلازا – Bayat Plaza Towers,Makkah Al-Mokarramah,500000000.0,جدة,False,['Residential'],"['Commercial', 'Hospitality', 'Residential']",1,Delayed,,,,2017-12-31,,True,True
أبراج رصد – Rusd Towers,Makkah Al-Mokarramah,,جدة,False,['Commercial'],"['Commercial', 'Hospitality']",1,Under construction,4300.0,2015.0,2015-04-03,,,False,False
أبراج ساحل البيلسان – Bay La Sun Coastal Towers,Makkah Al-Mokarramah,,مدينة الملك عبدالله الاقتصادية,False,"['Commercial', 'Residential']","['Commercial', 'Hospitality', 'Residential']",2,Announced,60000.0,,,,,False,False
أبراج سرايا العليا – Saraya Towers,Eastern Region,,الخبر,False,['Residential'],['Residential'],1,Completed,,2013.0,2013-06-01,2018-06-30,1855.0,False,False
أبراج قناة البيلسان – Bay La Sun Canal Towers,Makkah Al-Mokarramah,,مدينة الملك عبدالله الاقتصادية,False,"['Commercial', 'Residential']","['Commercial', 'Residential']",2,Proposed,62000.0,,,,,False,False
