region,n_projects,pct_projects,total_budget_sar_billion,pct_budget,known_budget_count,at_risk_rate,budget_coverage_pct
Makkah Al-Mokarramah,474,31.25,874.72,38.34,154,11.81,32.5
Eastern Region,220,14.5,482.55,21.15,97,21.82,44.1
Al-Riyadh,488,32.17,416.14,18.24,124,19.67,25.4
Al-Madinah Al-Monawarah,97,6.39,212.64,9.32,60,22.68,61.9
Jazan,45,2.97,191.33,8.39,33,15.56,73.3
Northern Borders,10,0.66,59.61,2.61,6,50.0,60.0
Aseer,32,2.11,13.3,0.58,17,18.75,53.1
Tabouk,31,2.04,10.73,0.47,13,16.13,41.9
Al-Qaseem,47,3.1,8.62,0.38,25,34.04,53.2
Hail,36,2.37,4.73,0.21,26,19.44,72.2
Al-Jouf,12,0.79,3.29,0.14,5,25.0,41.7
Al-Baha,13,0.86,2.59,0.11,7,15.38,53.8
Najran,12,0.79,1.06,0.05,4,0.0,33.3
