region,n_projects_all,total_budget_sar_all,known_budget_count_all,total_area_sqm_all,known_area_count_all,at_risk_count_all,pct_projects_all,pct_budget_all,at_risk_rate_all,total_budget_sar_billion_all,budget_coverage_pct,sector_hhi_all
Makkah Al-Mokarramah,474,874720958460.0,154,1101839583.83,338,56,31.25,38.34,11.81,874.72,32.5,0.19067028985507245
Eastern Region,220,482548502962.0,97,293363468.0,161,48,14.5,21.15,21.82,482.55,44.1,0.1902958579881657
Al-Riyadh,488,416135613835.0,124,446609679.84,369,96,32.17,18.24,19.67,416.14,25.4,0.20698302469135801
Al-Madinah Al-Monawarah,97,212642682210.0,60,79587270.0,56,22,6.39,9.32,22.68,212.64,61.9,0.14406298190081976
Jazan,45,191329470888.0,33,142819546.0,26,7,2.97,8.39,15.56,191.33,73.3,0.17352537722908096
Northern Borders,10,59606420000.0,6,449927235.32,5,5,0.66,2.61,50.0,59.61,60.0,0.2222222222222222
Aseer,32,13298720752.0,17,48049330.0,28,6,2.11,0.58,18.75,13.3,53.1,0.18983234180638184
Tabouk,31,10727840595.0,13,70067719.0,20,5,2.04,0.47,16.13,10.73,41.9,0.25826446280991733
Al-Qaseem,47,8624655793.0,25,17353234.0,41,16,3.1,0.38,34.04,8.62,53.2,0.19218615340419423
Hail,36,4727841786.0,26,12362304.0,22,7,2.37,0.21,19.44,4.73,72.2,0.1980246913580247
Al-Jouf,12,3293763819.0,5,25294740.0,12,3,0.79,0.14,25.0,3.29,41.7,0.25951557093425603
Al-Baha,13,2588971645.0,7,12102000.0,6,2,0.86,0.11,15.38,2.59,53.8,0.22491349480968859
Najran,12,1061000000.0,4,18331196.0,9,0,0.79,0.05,0.0,1.06,33.3,0.27335640138408307
