region,sector_en,LQ,n_projects
Hail,Education,3.62,9
Al-Madinah Al-Monawarah,Religious/Charity,3.49,9
Hail,Health,3.09,8
Jazan,Industrial,2.98,9
Al-Madinah Al-Monawarah,Education,2.44,15
Al-Madinah Al-Monawarah,Industrial,2.42,15
Aseer,Health,2.02,5
Jazan,Education,2.01,6
Tabouk,Government,2.0,19
Al-Jouf,Government,1.91,7
Najran,Government,1.91,7
Al-Riyadh,Scientific,1.85,13
Al-Qaseem,Health,1.77,6
Al-Baha,Government,1.64,6
Tabouk,Leisure/Tourism,1.58,9
Hail,Government,1.55,15
Al-Qaseem,Education,1.53,5
Aseer,Government,1.51,14
