name_project,budget_project,region,pct_national,pct_region
مدينة الملك عبد الله الاقتصادية – KAEC,375000000000.0,Makkah Al-Mokarramah,15.8,42.9
مدينة جازان للصناعات الاساسية والتحويلية – Jazan Economic...,100000000000.0,Jazan,4.2,52.3
قطار الرياض – Riyadh Metro,89701000000.0,Al-Riyadh,3.8,21.6
مشروع الملك عبدالعزيز للنقل العام بمدينة الرياض – Kin...,84000000000.0,Al-Riyadh,3.5,20.2
مجمع صدارة للكيميائيات – Sadara Chemicals Complex,75000000000.0,Eastern Region,3.2,15.5
قطار الحرمين السريع – Haramain High Speed Rail,63000000000.0,Makkah Al-Mokarramah / Al-Madinah Al-Monawarah,2.6,
"مشروع النقل العام بالدمام والقطيف – Dammam, Qatif public transpor...",60000000000.0,Eastern Region,2.5,12.4
قطار الخليج – Gulf Train – GCC,57750000000.0,Eastern Region,2.4,12.0
دار الهجرة – DAR AL HIJJRA,55000000000.0,Al-Madinah Al-Monawarah,2.3,25.9
مصفاة ساتورب – SATORP,45000000000.0,Eastern Region,1.9,9.3
