,full period 2017-2025,2017-2020,2021-2025,status 2021-2025
n_projects,1.2251537087082847,1.6983029712184015,0.0,frozen
total_budget_sar,1248673095.3554358,1740694146.3960974,0.0,frozen
known_budget_count,0.3764455115589675,0.5352875747676218,0.0,frozen
total_area_sqm,1032483.1657450586,1394585.9436523633,0.0,frozen
known_area_count,1.060653830056236,1.4882117146501825,0.0,frozen
at_risk_count,0.025641025641025723,0.038461538461538505,0.0,frozen
pct_projects,0.08119398277698141,0.11320551403528761,0.0,frozen
pct_budget,0.054721650548669634,0.07932791958670983,0.0,frozen
at_risk_rate,0.579189503627294,0.8327746587121533,0.0,frozen
total_budget_sar_billion,1.2485908150037472,1.7405295635216012,0.0,frozen
new_projects_this_year,1.913779875953734,2.4807739556750525,0.0,frozen
budget_started_this_year,1563918774.2250595,2246473796.5004063,0.0,frozen
active_projects,6.8320939765112785,7.1940827097862154,0.6613618009680822,moving
active_budget,20897687793.037807,17605879887.18228,7386572719.600694,moving
completed_this_year,3.446780808591784,3.6374182565151947,0.4338579881448564,moving
announced_projects,0.0,0.0,0.0,frozen
announced_budget,0.0,0.0,0.0,frozen
sector_hhi,0.00537264494049577,0.008012690892130563,0.0,frozen
