Province,Year,registered_employment,region,n_projects,total_budget_sar,known_budget_count,total_area_sqm,known_area_count,at_risk_count,pct_projects,pct_budget,at_risk_rate,total_budget_sar_billion,new_projects_this_year,budget_started_this_year,active_projects,active_budget,completed_this_year,announced_projects,announced_budget,sector_hhi,real_estate_growth,real_estate_vs_own_2023,Population,is_population_extrapolated
Al-Baha,2017,80272.0,Al-Baha,6,2325971645.0,5,7222000.0,4,2,0.76,0.12,33.33,2.33,0.0,0.0,4,2065227953.0,0.0,5,218000000.0,0.34375,,,322779.0,False
Al-Baha,2018,70165.0,Al-Baha,8,2370971645.0,6,7252000.0,5,2,0.97,0.12,25.0,2.37,2.0,45000000.0,6,2110227953.0,0.0,5,218000000.0,0.24000000000000007,,,318510.0,False
Al-Baha,2019,64847.0,Al-Baha,8,2370971645.0,6,7252000.0,5,2,0.96,0.12,25.0,2.37,0.0,0.0,6,2110227953.0,0.0,5,218000000.0,0.24000000000000007,,,319257.0,False
Al-Baha,2020,67332.0,Al-Baha,8,2370971645.0,6,7252000.0,5,2,0.96,0.12,25.0,2.37,0.0,0.0,6,2110227953.0,0.0,5,218000000.0,0.24000000000000007,,,331305.0,False
Al-Baha,2021,64144.0,Al-Baha,8,2370971645.0,6,7252000.0,5,2,0.96,0.12,25.0,2.37,0.0,0.0,6,2110227953.0,0.0,5,218000000.0,0.24000000000000007,,1.1615250000000001,327833.0,False
Al-Baha,2022,67004.0,Al-Baha,8,2370971645.0,6,7252000.0,5,2,0.96,0.12,25.0,2.37,0.0,0.0,6,2110227953.0,0.0,5,218000000.0,0.24000000000000007,-14.275,0.9943000000000001,339174.0,False
Al-Baha,2023,69113.0,Al-Baha,8,2370971645.0,6,7252000.0,5,2,0.96,0.12,25.0,2.37,0.0,0.0,6,2110227953.0,0.0,5,218000000.0,0.24000000000000007,0.7750000000000001,1.001075,342631.62205898546,True
Al-Baha,2024,70653.0,Al-Baha,8,2370971645.0,6,7252000.0,5,2,0.96,0.12,25.0,2.37,0.0,0.0,6,2110227953.0,0.0,5,218000000.0,0.24000000000000007,-18.325,0.8161000000000002,346124.49195625685,True
Al-Baha,2025,69156.0,Al-Baha,8,2370971645.0,6,7252000.0,5,2,0.96,0.12,25.0,2.37,0.0,0.0,6,2110227953.0,0.0,5,218000000.0,0.24000000000000007,-1.5,0.803925,349652.9690168308,True
Al-Jouf,2017,105263.0,Al-Jouf,6,3293763819.0,5,9425740.0,6,1,0.76,0.18,16.67,3.29,0.0,0.0,5,3018546575.0,1.0,6,0.0,0.30864197530864196,,,558052.0,False
Al-Jouf,2018,89982.0,Al-Jouf,6,3293763819.0,5,9425740.0,6,1,0.73,0.17,16.67,3.29,0.0,0.0,4,2980683575.0,0.0,6,0.0,0.30864197530864196,,,554005.0,False
Al-Jouf,2019,83989.0,Al-Jouf,6,3293763819.0,5,9425740.0,6,1,0.72,0.17,16.67,3.29,0.0,0.0,4,2980683575.0,0.0,6,0.0,0.30864197530864196,,,557379.0,False
Al-Jouf,2020,87325.0,Al-Jouf,6,3293763819.0,5,9425740.0,6,1,0.72,0.17,16.67,3.29,0.0,0.0,4,2980683575.0,0.0,6,0.0,0.30864197530864196,,,579446.0,False
Al-Jouf,2021,87161.0,Al-Jouf,6,3293763819.0,5,9425740.0,6,1,0.72,0.17,16.67,3.29,0.0,0.0,4,2980683575.0,0.0,6,0.0,0.30864197530864196,,0.9533750000000001,574894.0,False
Al-Jouf,2022,98321.0,Al-Jouf,6,3293763819.0,5,9425740.0,6,1,0.72,0.17,16.67,3.29,0.0,0.0,4,2980683575.0,1.0,6,0.0,0.30864197530864196,-0.225,0.95095,595822.0,False
Al-Jouf,2023,99188.0,Al-Jouf,6,3293763819.0,5,9425740.0,6,1,0.72,0.17,16.67,3.29,0.0,0.0,3,480683575.0,0.0,6,0.0,0.30864197530864196,5.3,1.00045,603803.1898940934,True
Al-Jouf,2024,102302.0,Al-Jouf,6,3293763819.0,5,9425740.0,6,1,0.72,0.17,16.67,3.29,0.0,0.0,3,480683575.0,0.0,6,0.0,0.30864197530864196,-5.275,0.946975,611891.2898924219,True
Al-Jouf,2025,111542.0,Al-Jouf,6,3293763819.0,5,9425740.0,6,1,0.72,0.17,16.67,3.29,0.0,0.0,3,480683575.0,0.0,6,0.0,0.30864197530864196,0.8499999999999999,0.953425,620087.7320835011,True
