feature,pearson_r,p_linear,spearman_rho,p_monotonic,gap
Year,0.336,0.0,0.653,0.0,0.317
new_projects_this_year,-0.208,0.034,-0.5,0.0,0.292
completed_this_year,-0.182,0.064,-0.335,0.001,0.153
budget_started_this_year,-0.097,0.328,-0.325,0.001,0.229
real_estate_vs_own_2023,0.085,0.502,0.215,0.086,0.13
real_estate_growth,0.07,0.623,0.182,0.198,0.112
active_budget,-0.073,0.464,-0.086,0.386,0.013
budget_per_capita,0.079,0.428,-0.074,0.455,-0.004
projects_per_million,-0.019,0.844,-0.066,0.507,0.046
at_risk_rate,0.067,0.498,0.065,0.514,-0.003
active_projects,-0.047,0.633,-0.055,0.577,0.008
n_projects,0.025,0.798,0.051,0.61,0.025
budget_coverage,-0.019,0.846,-0.048,0.631,0.028
total_area_sqm,0.042,0.67,0.041,0.68,-0.001
total_budget_sar,0.002,0.982,0.036,0.72,0.033
area_coverage,-0.062,0.532,0.029,0.769,-0.033
budget_per_project,0.096,0.333,-0.025,0.804,-0.071
projects_per_area,-0.011,0.91,0.012,0.904,0.001
sector_hhi,-0.012,0.902,0.0,0.999,-0.012
