model,region,MAE,RMSE,R2
Baseline: global mean,Al-Baha,0.0522835782580332,0.07327937937896777,-0.5909533262820981
Baseline: global mean,Al-Jouf,0.06178825736860903,0.08188235778835622,-0.03525941311170633
Baseline: global mean,Al-Madinah Al-Monawarah,0.13755356648145856,0.20645742515651683,-0.0003160071567185341
Baseline: global mean,Al-Qaseem,0.07663988728488783,0.10249863340622006,-0.012494435777874013
Baseline: global mean,Al-Riyadh,0.08750523117907824,0.10534399980624615,-0.4015405318961234
Baseline: global mean,Aseer,0.05033138580731,0.06857363837546941,-0.06051281964626343
Baseline: global mean,Eastern Region,0.07527365647063655,0.08423601251144752,-2.3633583635884747e-05
Baseline: global mean,Hail,0.08126711826239508,0.10497159879098367,-0.00022514649604699066
Baseline: global mean,Jazan,0.05171139313541867,0.06168653645332347,-0.01032303402958612
Baseline: global mean,Makkah Al-Mokarramah,0.049175762949730736,0.06325192313721478,-0.28073861000864064
Baseline: global mean,Najran,0.07151384998925146,0.09830908655676465,-0.007240263032406435
Baseline: global mean,Northern Borders,0.228382365014213,0.4061900981043816,-0.019156824535844663
Baseline: global mean,Tabouk,0.06256027139304232,0.07992300208816852,-0.0008596535486500301
Baseline: year mean,Al-Baha,0.04917368093657039,0.05876638940681264,-0.02317964336560152
Baseline: year mean,Al-Jouf,0.04106644906183361,0.04810609174654593,0.6426706747774512
Baseline: year mean,Al-Madinah Al-Monawarah,0.10511798932408134,0.1861972758566493,0.18637768637308116
Baseline: year mean,Al-Qaseem,0.04593502679818721,0.05840644940907234,0.6712406548663689
Baseline: year mean,Al-Riyadh,0.062437251500302784,0.07317327336228008,0.3237753146532787
Baseline: year mean,Aseer,0.022549563228205824,0.0329566202874378,0.7550446813918942
Baseline: year mean,Eastern Region,0.03920547304694945,0.04667856742176713,0.692921294690652
Baseline: year mean,Hail,0.04188978344870599,0.052027384761788725,0.7542926561947071
Baseline: year mean,Jazan,0.031257052629442075,0.036472019571362334,0.6468175570806312
Baseline: year mean,Makkah Al-Mokarramah,0.0343131307984617,0.04238527763656191,0.42490035733067044
Baseline: year mean,Najran,0.03913847457730335,0.05048929300816071,0.7343288872083122
Baseline: year mean,Northern Borders,0.23585610237677768,0.45419942584800294,-0.27431124171751375
Baseline: year mean,Tabouk,0.02671950567656526,0.032481434253121125,0.8346896670173517
Baseline: year median,Al-Baha,0.03808317463014296,0.04883053935932572,0.2935573409464648
Baseline: year median,Al-Jouf,0.02788346626899038,0.03780370114716751,0.7793331216697524
Baseline: year median,Al-Madinah Al-Monawarah,0.08359530486648586,0.149168382211315,0.4778085407748869
Baseline: year median,Al-Qaseem,0.03173992779808574,0.043312689109861205,0.8192048435722408
Baseline: year median,Al-Riyadh,0.06955293161935176,0.07479753065597337,0.2934212459350556
Baseline: year median,Aseer,0.013608471855443949,0.016313950523365116,0.939976706903045
Baseline: year median,Eastern Region,0.028692341414414603,0.03385157918530659,0.8384999988106369
Baseline: year median,Hail,0.032182248854836115,0.03658257829927155,0.87852056404365
Baseline: year median,Jazan,0.022044530966353594,0.03059619350945173,0.7514497068337538
Baseline: year median,Makkah Al-Mokarramah,0.03222763010362808,0.04563387736394416,0.33336551628659383
Baseline: year median,Najran,0.03678783901539169,0.04293214066589888,0.8079073077670846
Baseline: year median,Northern Borders,0.23049561412553096,0.4482410948054753,-0.24109690617126822
Baseline: year median,Tabouk,0.01634200286879555,0.023333759891886293,0.9146901743471405
Baseline: persistence lag-1,Al-Baha,0.07018535113831523,0.08451924972705258,-1.1164360005974503
Baseline: persistence lag-1,Al-Jouf,0.09099858255445512,0.10214885963461023,-0.6111484361072967
Baseline: persistence lag-1,Al-Madinah Al-Monawarah,0.20940941246438372,0.2745940650039402,-0.7695323131614218
Baseline: persistence lag-1,Al-Qaseem,0.10693712101199979,0.11695038696006699,-0.31813478586128596
Baseline: persistence lag-1,Al-Riyadh,0.06067686984493753,0.0769857969538784,0.251473339051558
Baseline: persistence lag-1,Aseer,0.07434551425162364,0.08216773816575038,-0.5226644266247167
Baseline: persistence lag-1,Eastern Region,0.07282296926508626,0.08427057583067583,-0.0008444518096766274
Baseline: persistence lag-1,Hail,0.10029831694032365,0.11225186578444278,-0.14377679627439655
Baseline: persistence lag-1,Jazan,0.08135274487821129,0.08655618172362615,-0.9891872265817472
Baseline: persistence lag-1,Makkah Al-Mokarramah,0.05218403441837024,0.06352460022897517,-0.2918048612107862
Baseline: persistence lag-1,Najran,0.08949884134572378,0.10506200757629172,-0.15036893825741648
Baseline: persistence lag-1,Northern Borders,0.43968633263353907,0.6003866796389935,-1.2266115071307255
Baseline: persistence lag-1,Tabouk,0.09325306748234308,0.09919009041730135,-0.5415803912304904
XGBoost,Al-Baha,0.03805324585936813,0.04559658479924544,0.38403149903463263
XGBoost,Al-Jouf,0.030311400001484176,0.03229168902332149,0.8389910448330651
XGBoost,Al-Madinah Al-Monawarah,0.09395238014655871,0.15749176971426668,0.4179075969138011
XGBoost,Al-Qaseem,0.062215833543903226,0.08158172099914808,0.35858040911889966
XGBoost,Al-Riyadh,0.09291835777300664,0.10611036923943647,-0.4220069051914006
XGBoost,Aseer,0.023052678864585313,0.029581038606777226,0.8026539793709528
XGBoost,Eastern Region,0.04304644482585929,0.04519892951942783,0.7120805782746069
XGBoost,Hail,0.06940699241824629,0.08746979344173028,0.30550304320866384
XGBoost,Jazan,0.09122708782011413,0.10991729374627714,-2.2078314136614217
XGBoost,Makkah Al-Mokarramah,0.058093467748790165,0.08916693987319696,-1.5451932210495256
XGBoost,Najran,0.03573895538914633,0.0486290850535265,0.7535448186245616
XGBoost,Northern Borders,0.23244108858635437,0.4214728591255109,-0.09729039902143466
XGBoost,Tabouk,0.03519724576127828,0.041258714542721814,0.733276678286754
TabM,Al-Baha,0.07482718691506487,0.09044383326707693,-1.4235489467801665
TabM,Al-Jouf,0.0796810754878857,0.09321900766214228,-0.3417680914682344
TabM,Al-Madinah Al-Monawarah,0.09306724138430973,0.15733164032419636,0.4190906773511217
TabM,Al-Qaseem,0.06120998523864094,0.07129705490176236,0.5101087570109286
TabM,Al-Riyadh,0.1000488950734674,0.13278803142555842,-1.2269164269205444
TabM,Aseer,0.05707457136932706,0.06766865867043584,-0.03270593507308983
TabM,Eastern Region,0.03696926198864933,0.04162051233229236,0.7558653029912963
TabM,Hail,0.0724781881215805,0.08689444899561985,0.3146092917077892
TabM,Jazan,0.06130211157210176,0.07483441023538864,-0.4869013728577809
TabM,Makkah Al-Mokarramah,0.03829203685088528,0.040530933000065494,0.47412050721000576
TabM,Najran,0.06730648041651932,0.07559453079037577,0.40443864745126756
TabM,Northern Borders,0.2647356998353195,0.4061384228256319,-0.018897527899989885
TabM,Tabouk,0.06681410770442349,0.08542465998348686,-0.1433945633866509
TabPFN,Al-Baha,0.04371373506091385,0.05439954451350914,0.12323258554523453
TabPFN,Al-Jouf,0.028853790532413146,0.036114460841589965,0.7986133025252005
TabPFN,Al-Madinah Al-Monawarah,0.09165895273000496,0.15948230538327904,0.403100500215121
TabPFN,Al-Qaseem,0.03350149604129701,0.04411488495691227,0.812445798661007
TabPFN,Al-Riyadh,0.06404990571820032,0.07009324332416977,0.3795048866303128
TabPFN,Aseer,0.014236569350781686,0.01955314331532417,0.9137747020111139
TabPFN,Eastern Region,0.024015953973971993,0.029701678341347827,0.8756697966366035
TabPFN,Hail,0.02954768295248454,0.033483098788308525,0.8982333605239636
TabPFN,Jazan,0.020613693465255045,0.027975256488199964,0.7922085681567941
TabPFN,Makkah Al-Mokarramah,0.05955291759822064,0.07462913546400493,-0.7829117798843244
TabPFN,Najran,0.033208151994822174,0.03790364376024956,0.8502703948323962
TabPFN,Northern Borders,0.23469620513879114,0.44828846736537653,-0.2413592517930503
TabPFN,Tabouk,0.01674251509684485,0.02072738915323098,0.9326839215665413
