,SHAP_pct,Permutation
Year,31.7,0.02128
real_estate_growth,26.65,0.02113
budget_per_capita,14.8,-8e-05
real_estate_vs_own_2023,9.41,0.00512
completed_this_year,3.09,0.00013
active_budget,2.78,0.00056
sector_hhi,2.27,0.0
projects_per_million,2.18,-0.00022
total_area_sqm,2.05,4e-05
area_coverage,1.09,0.0
n_projects,0.78,0.0
projects_per_area,0.69,0.0
budget_coverage,0.67,0.0
budget_per_project,0.42,0.0
active_projects,0.4,-0.0
budget_started_this_year,0.35,0.0003
total_budget_sar,0.29,0.0
at_risk_rate,0.24,2e-05
new_projects_this_year,0.14,-0.00068
