Province,n_projects,total_budget_sar,total_budget_sar_billion,at_risk_rate,pct_projects,pct_budget,sector_hhi,population,diversity_index,budget_per_capita,projects_per_million,avg_employment,avg_real_estate_growth,cluster
Al-Baha,8,2370971645.0,2.37,25.0,0.96,0.12,0.24,349652.9690168308,0.76,6780.928106135634,22.879828598323485,69187.33333333333,-8.33125,0
Al-Jouf,6,3293763819.0,3.29,16.67,0.72,0.17,0.3086419753086419,620087.7320835011,0.6913580246913581,5311.770655311822,9.67605016122467,96119.22222222222,0.16249999999999992,0
Al-Madinah Al-Monawarah,73,211398546992.0,211.4,27.4,8.72,10.99,0.1492382271468144,2192815.0114908265,0.8507617728531855,96405.09841652203,33.290541891342485,386607.1111111111,0.925,1
Al-Qaseem,29,7852955793.0,7.85,48.28,3.46,0.41,0.2077562326869806,1368610.7727199078,0.7922437673130194,5737.902952052199,21.18936996408911,442260.0,1.35,1
Al-Riyadh,213,318125724067.0,318.13,34.27,25.45,16.54,0.1825359827515879,8805608.098857908,0.8174640172484121,36127.626904979006,24.189130109892833,4876803.222222222,9.5125,1
Aseer,13,7514654594.0,7.51,30.77,1.55,0.39,0.2249134948096885,2118302.012735592,0.7750865051903115,3547.489710542037,6.136990817098689,418544.44444444444,-0.9250000000000003,0
Eastern Region,144,365108002962.0,365.11,32.64,17.2,18.98,0.1735092688873749,5304019.00079277,0.826490731112625,68836.10388790628,27.149224008902856,2092383.6666666667,0.55,1
Hail,28,3929341786.0,3.93,25.0,3.35,0.2,0.2300949598246895,785739.0359268081,0.7699050401753105,5000.822927634233,35.635241116629736,163139.77777777778,1.28125,1
Jazan,36,191180992731.0,191.18,19.44,4.3,9.94,0.1995673336938886,1455180.256910725,0.8004326663061114,131379.59494919734,24.739203153034936,203924.22222222222,1.21875,1
Makkah Al-Mokarramah,262,744861448793.0,744.86,15.27,31.3,38.73,0.1715990325181403,8039743.863106853,0.8284009674818598,92647.41034985635,32.58810286261453,2190294.888888889,3.525,1
Najran,6,665000000.0,0.66,0.0,0.72,0.03,0.25,619037.818752073,0.75,1074.2477759122744,9.692461136050595,162328.77777777778,3.868750000000001,0
Northern Borders,7,59304000000.0,59.3,42.86,0.84,3.08,0.2592592592592592,391870.7384077657,0.7407407407407408,151335.61704801375,17.86303317375044,90536.11111111111,2.0125,1
Tabouk,12,7615555229.0,7.62,33.33,1.43,0.4,0.2711111111111111,929542.9194386856,0.7288888888888889,8192.795695328123,12.909570660003874,149671.77777777778,3.325,0
