Province,employment_volatility,volatility_ex2020,covid_shock_2020,recovery_2021_2023,sector_hhi,n_projects,diversity_index
Al-Baha,0.06210821339921887,0.06264008272974735,0.038320970900735496,0.009571813137497368,0.2515277777777778,8,0.7484722222222222
Al-Jouf,0.08603233675399986,0.09205120699545725,0.03971948707568851,0.04499297661196566,0.3086419753086419,6,0.6913580246913581
Al-Madinah Al-Monawarah,0.22067740633180993,0.2378693240324617,-0.007067667599956806,0.1691180689284282,0.1488418354696856,73,0.8511581645303143
Al-Qaseem,0.10889745394917591,0.11755720140915193,0.023011227753923835,0.07702675184704422,0.20713448392477835,29,0.7928655160752216
Al-Riyadh,0.09512681292087566,0.09737912569115136,0.0014669085192327014,0.12283292730153657,0.18264633331141555,213,0.8173536666885844
Aseer,0.07118610076039897,0.07671304141407244,0.021347160318063718,0.04276958558660452,0.22529151448160956,13,0.7747084855183904
Eastern Region,0.090051021162357,0.09346268661755769,-0.03756247378603994,0.07095958667262274,0.1736093136832067,144,0.8263906863167934
Hail,0.11220672866865095,0.1211818436203793,0.030391786819657263,0.07890291694762903,0.2300949598246895,28,0.7699050401753105
Jazan,0.06560791445711948,0.06861359789204044,0.07088490417252369,0.05494028803054407,0.19874291119805762,36,0.8012570888019424
Makkah Al-Mokarramah,0.05975021287102433,0.06430895311917843,-0.015243303269038888,0.01232304305177101,0.17102921301135485,262,0.8289707869886451
Najran,0.10471842350550005,0.11307650049106753,0.02303090148698894,0.044129622654655844,0.2592592592592593,6,0.7407407407407407
Northern Borders,0.4301350146022071,0.4645639308436972,0.06287088110898487,-0.14845978423080644,0.2592592592592592,7,0.7407407407407408
Tabouk,0.08540458189176985,0.09223329730657354,0.030399129454743212,0.05700344682309477,0.2711111111111111,12,0.7288888888888889
