Year Acc ID,Year Acc,Province ID,Province,Nationality ID,Nationality,Registered Employee Category ID,Registered Employee Category,Sex ID,Sex,Employees
2017,2017,1,Al-Riyadh,1,Saudi,1,GOSI,1,Male,521771.0
2017,2017,1,Al-Riyadh,1,Saudi,1,GOSI,2,Female,264621.0
2017,2017,1,Al-Riyadh,1,Saudi,1,GOSI,3,Total,786392.0
2017,2017,1,Al-Riyadh,1,Saudi,2,Civil Services,1,Male,262835.0
2017,2017,1,Al-Riyadh,1,Saudi,2,Civil Services,2,Female,160681.0
2017,2017,1,Al-Riyadh,1,Saudi,2,Civil Services,3,Total,423516.0
2017,2017,1,Al-Riyadh,1,Saudi,4,Total,1,Male,784606.0
2017,2017,1,Al-Riyadh,1,Saudi,4,Total,2,Female,425302.0
2017,2017,1,Al-Riyadh,1,Saudi,4,Total,3,Total,1209908.0
2017,2017,1,Al-Riyadh,2,Non Saudi,1,GOSI,1,Male,2837090.0
2017,2017,1,Al-Riyadh,2,Non Saudi,1,GOSI,2,Female,102656.0
2017,2017,1,Al-Riyadh,2,Non Saudi,1,GOSI,3,Total,2939746.0
2017,2017,1,Al-Riyadh,2,Non Saudi,2,Civil Services,1,Male,6247.0
2017,2017,1,Al-Riyadh,2,Non Saudi,2,Civil Services,2,Female,4903.0
2017,2017,1,Al-Riyadh,2,Non Saudi,2,Civil Services,3,Total,11150.0
2017,2017,1,Al-Riyadh,2,Non Saudi,4,Total,1,Male,2843337.0
2017,2017,1,Al-Riyadh,2,Non Saudi,4,Total,2,Female,107559.0
2017,2017,1,Al-Riyadh,2,Non Saudi,4,Total,3,Total,2950896.0
2017,2017,1,Al-Riyadh,3,Total,1,GOSI,1,Male,3358861.0
2017,2017,1,Al-Riyadh,3,Total,1,GOSI,2,Female,367277.0
2017,2017,1,Al-Riyadh,3,Total,1,GOSI,3,Total,3726138.0
2017,2017,1,Al-Riyadh,3,Total,2,Civil Services,1,Male,269082.0
2017,2017,1,Al-Riyadh,3,Total,2,Civil Services,2,Female,165584.0
2017,2017,1,Al-Riyadh,3,Total,2,Civil Services,3,Total,434666.0
2017,2017,1,Al-Riyadh,3,Total,4,Total,1,Male,3627943.0
2017,2017,1,Al-Riyadh,3,Total,4,Total,2,Female,532861.0
2017,2017,1,Al-Riyadh,3,Total,4,Total,3,Total,4160804.0
2017,2017,2,Makkah Al-Mokarramah,1,Saudi,1,GOSI,1,Male,286131.0
2017,2017,2,Makkah Al-Mokarramah,1,Saudi,1,GOSI,2,Female,158977.0
2017,2017,2,Makkah Al-Mokarramah,1,Saudi,1,GOSI,3,Total,445108.0
2017,2017,2,Makkah Al-Mokarramah,1,Saudi,2,Civil Services,1,Male,112192.0
2017,2017,2,Makkah Al-Mokarramah,1,Saudi,2,Civil Services,2,Female,74323.0
2017,2017,2,Makkah Al-Mokarramah,1,Saudi,2,Civil Services,3,Total,186515.0
2017,2017,2,Makkah Al-Mokarramah,1,Saudi,4,Total,1,Male,398323.0
2017,2017,2,Makkah Al-Mokarramah,1,Saudi,4,Total,2,Female,233300.0
2017,2017,2,Makkah Al-Mokarramah,1,Saudi,4,Total,3,Total,631623.0
2017,2017,2,Makkah Al-Mokarramah,2,Non Saudi,1,GOSI,1,Male,1776972.0
2017,2017,2,Makkah Al-Mokarramah,2,Non Saudi,1,GOSI,2,Female,44464.0
2017,2017,2,Makkah Al-Mokarramah,2,Non Saudi,1,GOSI,3,Total,1821436.0
2017,2017,2,Makkah Al-Mokarramah,2,Non Saudi,2,Civil Services,1,Male,4158.0
2017,2017,2,Makkah Al-Mokarramah,2,Non Saudi,2,Civil Services,2,Female,3606.0
